Lutadores;BackGround
John Howard;Brazilian Jiu Jitsu
John Lewis;MMA
John Lineker;Boxing
John Maguire;MMA
John Makdessi;Karate
John Moraga;Wrestling
John Salter;Brazilian Jiu Jitsu
Johnny Bedford;Wrestling
Johnny Case;Wrestling
Johnny Eduardo;Brazilian Jiu Jitsu
Johnny Rhodes;MMA
Johny Hendricks;Wrestling
Jon delos Reyes;Kickboxing
Jon Fitch;Kickboxing
Jon Hess;Kung Fu
Jon Jones;MMA
Jon Madsen;Wrestling
Jon Tuck;Brazilian Jiu Jitsu
Jonathan Brookins;MMA
Jonathan Goulet;Karate
Jonathan Wiezorek;MMA
Jonathan Wilson;MMA
Jordan Mein;Kickboxing
Jorge Gurgel;Brazilian Jiu Jitsu
Jorge Masvidal;Boxing
Jorge Rivera;Brazilian Jiu Jitsu
Jorge Santiago;Brazilian Jiu Jitsu
Jose Alberto Quinonez;Wrestling
Jose Aldo;Muay Thai
Joseph Benavidez;Muay Thai
Joseph Duffy;Taekwondo
Josh Barnett;Wrestling
Josh Koscheck;Wrestling
Josh Neer;Wrestling
Josh Samman;Brazilian Jiu Jitsu
Josh Sampo;Wrestling
Josh Thomson;Kickboxing
Joshua Burkman;Wrestling
Julian Erosa;MMA
Juliana Lima;Muay Thai
Julianna Pena;Kickboxing
Junie Allen Browning;Wrestling
Junior Assuncao;Capoeira
Junior dos Santos;Capoeira
Jussier da Silva;Brazilian Jiu Jitsu
Justin Buchholz;Brazilian Jiu Jitsu
Justin Edwards;Wrestling
Justin Eilers;Boxing
Justin Lawrence;Kickboxing
Justin Martin;MMA
Justin McCully;Wrestling
Justin Salas;Wrestling
Justin Scoggins;Karate
Justine Kish;Karate
Jutaro Nakao;Judo
K.J. Noons;Karate
Kailin Curran;MMA
Kajan Johnson;Brazilian Jiu Jitsu
Kalib Starnes;Brazilian Jiu Jitsu
Kamaru Usman;Wrestling
Karlos Vemola;Wrestling
Karo Parisyan;Judo
Karolina Kowalkiewicz;Muay Thai
Katsunori Kikuno;Karate
Kazuki Tokudome;Judo
Kazuo Takahashi;Wrestling
Keita Nakamura;MMA
Keith Hackney;Karate
Keith Jardine;Wrestling
Keith Rockel;MMA
Kelvin Gastelum;Boxing
Ken Shamrock;Kickboxing
Ken Stone;MMA
Kendall Grove;Boxing
Kenny Florian;Brazilian Jiu Jitsu
Kenny Robertson;Wrestling
Kevin Burns;Taekwondo
Kevin Casey;Brazilian Jiu Jitsu
Kevin Ferguson;Boxing
Kevin Jackson;Wrestling
Kevin Lee;Wrestling
Kevin Randleman;Wrestling
Kevin Rosier;Kickboxing
Khabib Nurmagomedov;Russian Sambo
Kiichi Kunimoto;Brazilian Jiu Jitsu
Kimo Leopoldo;Taekwondo
Krzysztof Jotko;Brazilian Jiu Jitsu
Krzysztof Soszynski;Kickboxing
Kuniyoshi Hironaka;MMA
Kurt Pellegrino;Brazilian Jiu Jitsu
Kyle Bradley;MMA
Kyle Kingsbury;Kickboxing
Kyle Noke;Boxing
Kyle Watson;MMA
Kyoji Horiguchi;Karate
Kyung Ho Kang;Wrestling
Lance Benoist;Brazilian Jiu Jitsu
Lance Gibson;Kickboxing
Lauren Murphy;Brazilian Jiu Jitsu
Lavar Johnson;MMA
LaVerne Clark;Boxing
Leandro Issa;Brazilian Jiu Jitsu
Leandro Silva;Brazilian Jiu Jitsu
Lee Murray;MMA
Leon Edwards;Kickboxing
Leonard Garcia;Brazilian Jiu Jitsu
Leonardo Mafra Texeira;Muay Thai
Leonardo Santos;Brazilian Jiu Jitsu
Leslie Smith;Brazilian Jiu Jitsu
Levan Makashvili;Wrestling
Lipeng Zhang;Brazilian Jiu Jitsu
Liz Carmouche;Brazilian Jiu Jitsu
