"","X.2","X.1","X","pageurl","eid","mid","event_name","event_org","event_date","event_place","f1pageurl","f2pageurl","f1name","f2name","f1result","f2result","f1fid","f2fid","method","method_d","ref","round","time","year","f1BackGround","f2BackGround","f1win","f2win","value","minutos_de_luta","winner_style","mach_vector"
"216",216,216,216,"/events/UFC-44-Undisputed-1688",1688,7,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Tim-Sylvia-1061","/fighter/Gan-McGee-273","Tim Sylvia","Gan McGee","win","loss",1061,273,"KO","Punches","N/A",1,"1:54",2003,"Boxing","Wrestling",1,0,1,1.9,"Boxing","Boxing vs Wrestling"
"217",217,217,217,"/events/UFC-45-Revolution-1863",1863,7,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Matt-Lindland-276","/fighter/Falaniko-Vitale-370","Matt Lindland","Falaniko Vitale","win","loss",276,370,"KO","Punches","N/A",3,"4:23",2003,"Wrestling","Wrestling",1,0,1,14.38,"Wrestling","Wrestling vs Wrestling"
"218",218,218,218,"/events/UFC-45-Revolution-1863",1863,6,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Wesley-Correira-2829","/fighter/David-Abbott-110","Wesley Correira","David Abbott","win","loss",2829,110,"KO","Cut","N/A",1,"2:14",2003,"Boxing","Wrestling",1,0,1,2.23,"Boxing","Boxing vs Wrestling"
"219",219,219,219,"/events/UFC-45-Revolution-1863",1863,5,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Evan-Tanner-212","/fighter/Phil-Baroni-278","Evan Tanner","Phil Baroni","win","loss",212,278,"KO","Punches","N/A",1,"4:42",2003,"Wrestling","Kickboxing",1,0,1,4.7,"Wrestling","Kickboxing vs Wrestling"
"220",220,220,220,"/events/UFC-46-Supernatural-1943",1943,6,"UFC 46 - Supernatural","Ultimate Fighting Championship","1/31/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Renato-Verissimo-4095","/fighter/Carlos-Newton-7","Renato Verissimo","Carlos Newton","win","loss",4095,7,"Decision","Unanimous","N/A",3,"5:00",2004,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Brazilian Jiu Jitsu"
"221",221,221,221,"/events/UFC-46-Supernatural-1943",1943,3,"UFC 46 - Supernatural","Ultimate Fighting Championship","1/31/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Georges-St-Pierre-3500","/fighter/Karo-Parisyan-5153","Georges St. Pierre","Karo Parisyan","win","loss",3500,5153,"Decision","Unanimous","N/A",3,"5:00",2004,"Wrestling","Judo",1,0,1,15,"Wrestling","Judo vs Wrestling"
"222",222,222,222,"/events/UFC-46-Supernatural-1943",1943,2,"UFC 46 - Supernatural","Ultimate Fighting Championship","1/31/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Josh-Thomson-2394","/fighter/Hermes-Franca-3068","Josh Thomson","Hermes Franca","win","loss",2394,3068,"Decision","Unanimous","N/A",3,"5:00",2004,"Kickboxing","Brazilian Jiu Jitsu",1,0,1,15,"Kickboxing","Brazilian Jiu Jitsu vs Kickboxing"
"223",223,223,223,"/events/UFC-47-Its-On-2121",2121,6,"UFC 47 - It's On","Ultimate Fighting Championship","4/2/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Yves-Edwards-344","/fighter/Hermes-Franca-3068","Yves Edwards","Hermes Franca","win","loss",344,3068,"Decision","Split","N/A",3,"5:00",2004,"Muay Thai","Brazilian Jiu Jitsu",1,0,1,15,"Muay Thai","Brazilian Jiu Jitsu vs Muay Thai"
"224",224,224,224,"/events/UFC-48-Payback-2203",2203,5,"UFC 48 - Payback","Ultimate Fighting Championship","6/19/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Matt-Hughes-232","/fighter/Renato-Verissimo-4095","Matt Hughes","Renato Verissimo","win","loss",232,4095,"Decision","Unanimous","N/A",3,"5:00",2004,"Wrestling","Brazilian Jiu Jitsu",1,0,1,15,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"225",225,225,225,"/events/UFC-48-Payback-2203",2203,4,"UFC 48 - Payback","Ultimate Fighting Championship","6/19/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Evan-Tanner-212","/fighter/Phil-Baroni-278","Evan Tanner","Phil Baroni","win","loss",212,278,"Decision","Unanimous","N/A",3,"5:00",2004,"Wrestling","Kickboxing",1,0,1,15,"Wrestling","Kickboxing vs Wrestling"
"226",226,226,226,"/events/UFC-48-Payback-2203",2203,3,"UFC 48 - Payback","Ultimate Fighting Championship","6/19/2004","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Matt-Serra-1305","/fighter/Ivan-Menjivar-993","Matt Serra","Ivan Menjivar","win","loss",1305,993,"Decision","Unanimous","N/A",3,"5:00",2004,"Kung Fu","Brazilian Jiu Jitsu",1,0,1,15,"Kung Fu","Brazilian Jiu Jitsu vs Kung Fu"
"227",227,227,227,"/events/UFC-49-Unfinished-Business-2400",2400,2,"UFC 49 - Unfinished Business","Ultimate Fighting Championship","8/21/2004","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Karo-Parisyan-5153","/fighter/Nick-Diaz-2831","Karo Parisyan","Nick Diaz","win","loss",5153,2831,"Decision","Split","N/A",3,"5:00",2004,"Judo","Brazilian Jiu Jitsu",1,0,1,15,"Judo","Brazilian Jiu Jitsu vs Judo"
"228",228,228,228,"/events/UFC-50-The-War-of-04-2512",2512,7,"UFC 50 - The War of '04","Ultimate Fighting Championship","10/22/2004","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Tito-Ortiz-158","/fighter/Patrick-Cote-6612","Tito Ortiz","Patrick Cote","win","loss",158,6612,"Decision","Unanimous","N/A",3,"5:00",2004,"Boxing","Muay Thai",1,0,1,15,"Boxing","Boxing vs Muay Thai"
